,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos
583,5.35398,4.58396,4.7918,22.1681,146.38966,231.44548,331.25097,330.50379,9.00619,8.42728,13.56089,44.53177,96.15171,247.06439,511.6164,416.96135,367.41196
583.2,4.80314,5.27766,4.19721,25.15086,156.10761,247.98461,348.6492,372.59,7.66991,12.76939,16.66804,49.31053,98.10667,278.5971,560.79184,438.2136,391.63518
583.4,4.13364,5.45784,5.78279,24.875,167.1247,248.97591,374.02973,392.98655,7.74071,13.97114,18.76625,49.77956,104.48505,297.12981,602.42342,477.26766,416.46554
583.6,4.53195,5.98937,6.4855,20.44397,171.01359,265.75852,402.12708,419.44345,8.49292,12.76939,26.62339,50.69106,115.88144,337.25131,669.59886,529.62802,465.32268
583.8,4.29466,5.36775,6.40441,21.21983,170.6888,283.9933,429.21558,473.31414,10.90885,14.21675,25.07875,60.32823,134.54811,367.35411,735.17781,601.99739,522.59054
584,2.70992,7.14252,5.63865,25.625,183.43239,305.91504,446.48106,484.3831,11.94425,17.13781,28.27518,61.48752,144.57514,409.53168,793.60763,652.24063,561.81375
584.2,1.69297,4.40378,4.36838,25.01293,176.68026,323.51504,474.02973,535.44345,10.28053,21.81325,30.52518,61.60257,157.8364,453.63449,861.7743,706.74514,633.71554
584.4,3.50653,5.78216,6.77378,28.00431,174.62897,345.14113,520.21558,579.89172,13.04159,23.33956,32.37339,68.97425,184.23279,502.19523,948.02868,799.15054,693.58161
584.6,4.26924,5.41279,4.75577,26.99569,186.29564,382.02809,551.14478,656.96931,12.43097,25.42728,34.65911,74.59372,199.71928,543.40084,1034.43219,893.88928,755.76911
584.8,3.78619,4.83622,5.36838,28.46983,189.21017,419.25417,602.6315,715.25379,14.76726,27.27816,41.56982,89.62912,216.61117,588.60645,1130.86202,979.70009,836.14411
585,1.82856,4.62901,3.42243,30.60776,206.09906,443.602,673.82619,767.71931,14.48407,30.39219,48.98946,90.73531,243.44901,664.26065,1239.90588,1063.58297,903.19768
585.2,2.60822,5.65604,3.44946,32.44397,217.15889,477.84548,718.8085,839.59,16.82035,35.52377,49.53411,99.54062,281.64721,740.32607,1335.56377,1148.84423,1001.42089
585.4,4.37093,5.02541,6.4855,27.25431,216.32128,513.92374,781.87929,908.14172,20.15664,35.31325,60.53411,111.39018,313.92649,851.80271,1447.02868,1261.94333,1108.26911
585.6,5.21839,7.16955,6.62063,33.32328,222.1247,560.47157,859.12708,1018.99517,24.42212,34.71675,62.18589,118.18664,350.58414,919.48495,1566.79184,1410.53793,1218.93875
585.8,1.76076,5.74613,4.6927,34.43534,232.19308,617.95852,944.41912,1129.5469,26.9885,36.4536,70.42696,130.29283,378.84541,990.57841,1678.18658,1536.48387,1304.97446
586,0.5489,5.02541,3.95396,37.89224,233.89393,677.42809,1029.98549,1248.50379,27.25398,45.41851,73.34661,142.78841,418.29586,1105.51299,1828.67781,1670.76315,1454.34054
586.2,2.82008,5.54793,6.29631,42.96121,249.81701,736.002,1140.50761,1360.71069,25.50177,47.65535,76.25732,148.29283,454.29586,1221.25131,2006.87956,1816.64604,1625.27804
586.4,3.18449,8.8182,7.1882,42.80603,253.24436,822.02809,1223.8085,1469.1331,26.62566,51.60272,88.25732,158.64681,487.62919,1313.31673,2137.31816,2003.89829,1775.49232
586.6,3.20144,9.30468,9.32333,40.60776,269.40675,901.35852,1304.22442,1604.2969,31.26283,53.60272,95.37339,176.12469,548.91748,1437.17654,2303.68658,2159.4118,1903.64411
586.8,4.17602,7.25063,8.78279,42.625,272.67171,980.88896,1420.22442,1760.83138,34.43097,54.59395,92.10554,194.8592,612.27784,1570.41953,2469.37956,2323.69108,2110.41196
587,2.13364,6.08847,8.34135,45.38362,269.97085,1070.202,1586.51646,1921.2969,35.30708,58.32202,105.09661,206.07159,662.85441,1705.17654,2677.84447,2534.01541,2284.29589
587.2,4.09127,7.62,9.50351,45.01293,279.80846,1161.56722,1738.12708,2089.6331,39.53717,63.4536,114.12339,225.64681,707.50306,1868.41019,2874.80939,2721.56495,2494.13518
587.4,2.34551,8.29568,11.81883,47.06466,305.63752,1280.93243,1916.18018,2262.73655,38.8115,72.99746,118.51625,244.14239,782.23279,2029.86813,3058.73044,2940.25865,2701.17089
587.6,3.37941,6.4218,12.17919,55.0819,316.64607,1403.602,2096.41027,2476.42621,44.97965,72.18167,127.53411,259.0008,873.15171,2173.89617,3303.58132,3158.29468,2902.78696
587.8,4.73534,7.70108,9.87288,56.72845,332.01359,1509.43678,2262.07398,2688.26241,50.65221,75.92728,132.59661,271.75301,947.71027,2366.23262,3559.29184,3381.43883,3110.92089
588,2.76076,7.41279,9.16117,58.61638,366.39821,1659.58461,2456.53416,2916.64172,49.61681,83.62904,148.88232,300.05389,1028.92649,2545.9429,3812.32693,3653.01541,3344.86732
